messages	label	predictions
[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Six hostages, including the children and elderly, were released early, as were the Filipino photographers.\nMaithili:'}]	बच्चा आ वृद्ध समेत छहटा अपहरित कें जल्छी मुक्त कराओल गेल जहि मे फिलिपिनो फोटोग्राफर सभ सेहा छलाह।	छः गिरफ्तारी, जिसमें बच्चे और बुजुर्ग भी शामिल थे, समय से पहले रिहा कर दिए गए, जैसे कि फिलीपीनो फोटोग्राफर भी।
[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The “invisible team” is the management team to which each of the members report. The invisible team sets the standards for each member.\nMaithili:'}]	“अदृश्य दल” ऊ प्रबंधन दल अछि जिनका प्रत्येक सदस्य रिपोर्ट करैत छैथ। अदृश्य दल, प्रत्येक सदस्यक लेल मानक निर्धारित करैत अछि।	"""अदृश्य टीम"" एह व्यवस्थापन टीम होत है जिसमें सदस्यों की प्रतिवेदन की जाती है। अदृश्य टीम हर सदस्य के लिए मानक सेट करती है।"
"[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nMaithili:'}]"	"""ओ आगू कहलथि, हमरा सभ लग आब 4 मासक मूस अछि जे मधुमेह सँ पीड़ित नहि अछि आ जे पहिने मधुमेह"" सँ पीड़ित छल।"	हाम अब चार महिना जोड़े गए माउस रखेंछौं जुन डायबेटिक थे तर अब डायबेटिक नहीं हैं, उन्होंने जोड़ा।
[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler.\nMaithili:'}]	बहुत बेसी सामाजिक आ राजनीतिक प्रभाव अछि जेना कि मीट्रिक प्रणालीक उपयोग, निरंकुशता सँ गणतंत्रवाद, राष्ट्रवाद में बदलाव आ ई विश्वास कि देश लोग सभक अछि, एकमात्र शासकक नहि अछि।	इहा अनेक सामाजिक र राजनीतिक प्रभाव छन् जस्तै मेट्रिक प्रणालीको प्रयोग, एकान्तवादबाट गणतन्त्रवादमा परिवर्तन, राष्ट्रवाद र विश्वास यस देशले एकल शासकलाई नभन्दा जनतामा छ भन्ने।
[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The first known transportation was walking, humans began walking upright two million years ago with the emergence of Homo Erectus (meaning upright man).\nMaithili:'}]	पहिल ज्ञात परिवहन चलैय बला, इंसान सभ दो मिलियन साल पहिले होमो इरेक्टस (अर्थात् ईमानदार आदमी) कें उद्भवक संग सीधा चलनाई शुरू करि दएलनि छल।	पहिले ज्ञात परिवहन चलना था, मानव दो मिलियन वर्ष पहले होमो इरेक्टस (खड़े इंसान का अर्थ) के उदय के साथ खड़े होकर चलना शुरू कर दिया।
[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nMaithili:'}]	हैलिफैक्स, नोवा स्कॉटियाक डलहौजी विश्वविद्यालय मे मेडिसीनक प्रोफेसर आ कनेडियन डायबेटिक एसोसिएशनक चिकित्सीय आ वैज्ञानिक प्रभागक अध्यक्ष डॉक्टर एहुद यूआर सावधान केलथि जे अनुसंधान एखनहुं शुरुआती समय मे अछि।	डॉ. एहुद उर, हलिफैक्स, नोवा स्कोशिया में डालहौसी विश्वविद्यालय के चिकित्सा के प्रोफेसर और कनाडियन डायबिटीज एसोसिएशन के नैदानिक और वैज्ञानिक विभाग के अध्यक्ष ने चेतावनी दी कि यह शोध अभी भी अपने प्रारंभिक दिनों में है।
[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Some animals, such as elephants and giraffes, tend to approach closely to cars and standard equipment will allow good viewing.\nMaithili:'}]	किछु जानवर, जेना हाथी आ जिराफ, कें कार सभक करीब आबैय कें प्रवृति छनि आ उच्च-स्तर कें उपकरण नीक दृश्यक देखय केंअनुमति दैत अछि।	केहि जनावर, जस्तै हाथी र जिराफ, गाडीहरूसँग निकटता आउने अभ्यास गर्छन् र मानक उपकरणले राम्रो दृश्य देखाउन दिन्छ।
"[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Finland is a great boating destination. The ""Land of a thousand lakes"" has thousands of islands too, in the lakes and in the coastal archipelagos.\nMaithili:'}]"	"फिनलैंड एकटा सुदंर नौका विहारक गंतव्य केंद्र अछि। ""हजार झीलक भूमि"" केर एहि झील आ तटीय द्वीपसमूह मे कतेको हजार द्वीप सभ सेहो अछि।"	"फिनलैंड एक महान नाविकांग गंतव्य है। ""हजार झीलों का देश"" झीलों में और तटीय द्वीपसमूहों में भी हजारों द्वीप है।"
[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nMaithili:'}]	किछु आन विशेषज्ञ सभ जेकां ओ एहि संबंध मे संशय मे छथि जे मधुमेह कें ठीक कएल जा सकैत अछि वा नहि, ई देखैत जे ई नव जानकारी सभक टाइप 1 मधुमेह सँ पीड़ित लोकनिक सभ संग कोनो प्रासंगिकता नहि अछि।	केही अन्य विशेषज्ञहरूको तरह, उनी डायबिटीजको उपचार गरिन सम्भावना बारे संदेहशील छन्, जसले यस प्रकारका अनुसन्धानहरूले पहिले नै प्रकृति १ डायबिटीज भएका मानिसहरूसँग केही सम्बन्ध नभएको बताएका छन्।
[{'role': 'user', 'content': 'This is an English to Maithili translation, please provide the Maithili translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.\nMaithili:'}]	गोभीक रस कतेक अम्लीय या मूल (क्षारीय) रसायन अछि के आधार पर रंग बदलैत अछि।	कोबी रस रंग परिवर्तन करेल जेकर रसायनिक पदार्थ कितना अम्लीय या आधारीय (शार) हो।
